,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
194,,House,Apartment,390000,Yes,3,175,0,0,None,,None,None,None,2,None,To renovate
195,,House,Apartment,225000,Yes,2,105,0,0,None,,None,None,None,3,None,Good
196,,House,Apartment,285000,Yes,5,280,0,0,None,,None,None,None,2,None,To be done up
197,,House,Apartment,285000,Yes,3,180,0,0,None,1,None,None,None,2,None,To be done up
198,,House,Apartment,320000,Yes,3,163,1,0,None,,None,None,None,,None,
199,Oost-Vlaanderen,House,Apartment,425000,Yes,8,273,1,0,None,,None,None,None,2,None,To be done up
200,,House,Apartment,455000,Yes,7,370,0,0,None,,None,None,None,2,None,As new
201,Brussels Hoofdstedelijk gewest,House,Apartment,579000,Yes,1,260,1,,None,,None,None,None,2,None,Good
202,,House,Apartment,675000,Yes,3,205,0,0,None,,None,None,None,2,None,Just renovated
203,Oost- Vlaanderen,House,Apartment,1149000,Yes,3,,1,,None,1,None,None,None,4,None,As new
204,,House,Apartment,2400000,Yes,7,,1,0,None,1,None,None,None,2,None,Good
205,,House,Apartment,220000,Yes,3,180,0,0,None,,None,None,None,,None,To renovate
206,,House,Apartment,209000,Yes,5,427,1,1,None,1,None,None,None,2,None,Good
207,,House,Apartment,600000,Yes,3,140,0,1,None,1,None,None,None,2,None,As new
208,,House,Apartment,495000,Yes,5,,0,0,None,,None,None,None,2,None,
209,,House,Apartment,470000,Yes,,meters,0,0,None,,None,None,None,2,None,Good
210,,House,Apartment,735000,Yes,4,280,0,0,None,,None,None,None,2,None,
211,Charleroi périmètre,House,Apartment,200000,Yes,4,198,1,0,None,1,None,None,None,2,None,Good
212,,House,Apartment,435000,Yes,4,230,0,0,None,,None,None,None,4,None,To renovate
213,,House,Apartment,565000,Yes,6,335,0,0,None,,None,None,None,,None,Just renovated
214,,House,Apartment,800000,Yes,4,195,1,0,None,1,None,None,None,4,None,To be done up
215,,House,Apartment,497000,Yes,3,265,1,0,None,,None,None,None,,None,As new
216,,House,Apartment,275000,Yes,9,450,0,0,None,,None,None,None,3,None,To be done up
217,,House,Apartment,1700000,Yes,9,,1,0,None,,None,None,None,,None,Just renovated
218,,House,Apartment,130000,Yes,3,200,0,,None,,None,None,None,2,None,To be done up
219,,House,Apartment,135000,Yes,4,175,1,0,None,,None,None,None,4,None,To renovate
220,Ans et environ,House,Apartment,235000,Yes,5,158,0,0,None,,None,None,None,3,None,Good
221,Liège,House,Apartment,280000,Yes,4,197,1,0,None,,None,None,None,3,None,To be done up
222,Liège,House,Apartment,309500,Yes,5,217,0,0,None,,None,None,None,3,None,Good
223,,House,Apartment,329000,Yes,12,300,1,0,None,,None,None,None,2,None,
224,Ardennes,House,Apartment,480000,Yes,9,570,0,0,None,,None,None,None,3,None,Good
225,,House,Apartment,600000,Yes,11,512,1,0,None,,None,None,None,2,None,To be done up
226,,,,None,,,,0,,None,,None,None,None,,None,
227,,House,Apartment,795000,Yes,6,302,0,0,None,,None,None,None,2,None,To be done up
228,,House,Apartment,795000,Yes,6,302,0,0,None,,None,None,None,2,None,To be done up
229,,House,Apartment,800000,Yes,6,,0,0,None,,None,None,None,2,None,Good
230,,House,Apartment,1180000,Yes,7,370,0,1,None,1,None,None,None,2,None,Good
231,,House,Apartment,1195000,Yes,5,548,1,0,None,,None,None,None,2,None,Good
232,,House,Apartment,1198000,Yes,13,622,0,0,None,,None,None,None,2,None,To be done up
233,,House,Apartment,1250000,Yes,8,295,0,0,None,,None,None,None,2,None,Good
234,,House,Apartment,1500000,Yes,20,,0,0,None,,None,None,None,3,None,As new
235,,House,Apartment,549000,Yes,4,207,1,0,None,,None,None,None,2,None,Good
236,Verviers et environ,House,Apartment,189000,Yes,4,200,1,0,None,,None,None,None,3,None,Good
237,Jodoigne,House,Apartment,349000,Yes,3,,1,0,None,,None,None,None,2,None,Good
238,,House,Apartment,699000,Yes,6,238,1,,None,1,None,None,None,2,None,As new
239,,House,Apartment,1350000,Yes,13,520,0,0,None,,None,None,None,2,None,
240,,House,Apartment,180000,Yes,4,141,1,0,None,,None,None,None,2,None,To be done up
241,,House,Apartment,195000,Yes,5,250,0,0,None,1,None,None,None,2,None,
242,,House,Apartment,199000,Yes,3,168,0,0,None,,None,None,None,,None,
243,,House,Apartment,215000,Yes,6,340,0,0,None,,None,None,None,3,None,To renovate
244,Liège Centre,House,Apartment,250000,Yes,8,250,0,0,None,,None,None,None,2,None,Good
245,,House,Apartment,250000,Yes,,meters,0,0,None,,None,None,None,,None,Good
246,,House,Apartment,250000,Yes,7,282,0,0,None,,None,None,None,4,None,To renovate
247,Boulevards,House,Apartment,315000,Yes,6,240,1,0,None,,None,None,None,2,None,Good
