,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
180,,House,Mixed-use,209000,Yes,5,427,1,1,None,1,None,None,None,2,None,Good
181,,House,Mixed-use,259000,Yes,2,216,0,0,None,,None,None,None,3,None,Good
182,,House,Mixed-use,325000,Yes,3,143,0,0,None,,None,None,None,,None,
183,,House,Mixed-use,475000,Yes,4,300,0,0,None,1,None,None,None,3,None,Good
184,,House,Mixed-use,1250000,Yes,10,829,0,0,None,,None,None,None,2,None,As new
185,,House,Mixed-use,1850000,Yes,4,,0,,None,1,None,None,None,4,None,As new
186,,House,Mixed-use,495000,Yes,5,,0,0,None,,None,None,None,2,None,
187,,House,Mixed-use,795000,Yes,,meters,0,0,None,,None,None,None,3,None,Good
188,,House,Mixed-use,419900,Yes,3,525,0,,None,,None,None,None,2,None,Good
189,,House,Mixed-use,Starting price : 495000,Yes,3,220,0,,None,,None,None,None,2,None,
190,,House,Mixed-use,325000,Yes,3,603,0,0,None,1,None,None,None,4,None,To renovate
191,,House,Mixed-use,339000,Yes,2,262,0,0,None,,None,None,None,2,None,As new
192,Les Bons Villers,House,Mixed-use,490000,Yes,3,,1,0,None,1,None,None,None,4,None,Good
193,,House,Mixed-use,495000,Yes,3,230,1,0,None,,None,None,None,3,None,
194,,House,Mixed-use,750000,Yes,9,,1,0,None,1,None,None,None,3,None,Good
195,,House,Mixed-use,795000,Yes,6,412,0,0,None,,None,None,None,2,None,Good
196,,House,Mixed-use,1575000,Yes,6,627,0,0,None,1,None,None,None,2,None,
197,,House,Mixed-use,1750000,Yes,15,700,0,0,None,,None,None,None,3,None,
198,,House,Mixed-use,175000,Yes,1,236,1,0,None,1,None,None,None,2,None,To be done up
199,,House,Mixed-use,497000,Yes,3,265,1,0,None,,None,None,None,,None,As new
200,Liège,House,Mixed-use,90000,Yes,2,130,0,0,None,,None,None,None,2,None,To renovate
201,Liège,House,Mixed-use,90000,Yes,2,130,0,0,None,,None,None,None,2,None,To renovate
202,Liège,House,Mixed-use,150000,Yes,4,159,0,,None,1,None,None,None,2,None,To renovate
