,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
151,,House,BOIS,From 673000 To 697000,No,,None,0,,None,,None,None,None,,None,
152,,House,Duinresidence,From 3050000 To 4125000,No,,None,0,,None,,None,None,None,,None,
153,,House,Duplex,105000,No,2,None,0,0,None,,None,None,None,,None,To be done up
154,Liege,House,Duplex,584750,No,5,None,0,,None,,None,None,None,2,None,As new
155,,House,Duplex,313750,No,2,None,0,0,None,,None,None,None,,None,As new
156,,House,Duplex,325000,No,2,None,0,0,None,,None,None,None,,None,As new
157,,House,Duplex,159000,No,2,None,0,0,None,,None,None,None,,None,Good
158,,House,Duplex,230000,No,1,None,0,0,None,,None,None,None,2,None,As new
159,Zone Sud Province du Luxembourg,House,Duplex,245000,No,2,None,1,0,None,,None,None,None,2,None,Good
160,,House,Duplex,245000,No,2,None,0,0,None,1,None,None,None,,None,As new
161,,House,Duplex,249000,No,2,None,0,0,None,,None,None,None,4,None,Good
162,,House,Duplex,270000,No,3,None,1,0,None,1,None,None,None,,None,Good
163,,House,Duplex,295000,No,2,None,0,0,None,,None,None,None,,None,Good
164,,House,Duplex,305000,No,3,None,0,0,None,,None,None,None,3,None,As new
165,,House,Duplex,319000,No,2,None,0,0,None,,None,None,None,,None,As new
166,1 - Bruxelles Sud,House,Duplex,345000,No,2,None,1,0,None,,None,None,None,2,None,Good
167,,House,Duplex,510000,No,3,None,0,0,None,,None,None,None,2,None,As new
168,,House,Duplex,648000,No,3,None,0,0,None,,None,None,None,2,None,As new
169,,House,Duplex,895000,No,3,None,0,0,None,1,None,None,None,2,None,As new
170,Oost- Vlaanderen,House,Duplex,389000,No,3,None,0,,None,1,None,None,None,3,None,As new
171,,House,Duplex,249000,No,2,None,1,0,None,1,None,None,None,,None,
172,,House,Duplex,1190000,No,3,None,0,0,None,,None,None,None,4,None,As new
173,,House,Duplex,500000,No,2,None,1,0,None,,None,None,None,2,None,
174,,House,Duplex,278000,No,1,None,0,0,None,,None,None,None,2,None,
175,,House,Duplex,680000,No,3,None,0,0,None,,None,None,None,3,None,As new
176,,House,Duplex,225850,No,2,None,1,0,None,,None,None,None,2,None,
177,,House,Duplex,266250,No,2,None,1,0,None,,None,None,None,2,None,
178,,House,Duplex,278000,No,2,None,1,0,None,,None,None,None,2,None,
179,,House,Duplex,345000,No,2,None,0,0,None,,None,None,None,,None,Good
180,,House,Duplex,339000,No,3,None,1,0,None,,None,None,None,2,None,Good
181,,House,Duplex,269000,No,3,None,1,0,None,,None,None,None,,None,Good
182,,House,Duplex,269000,No,3,None,1,0,None,,None,None,None,,None,Good
183,,House,Duplex,299500,No,2,None,0,0,None,,None,None,None,2,None,
184,,House,Duplex,319000,No,2,None,1,0,None,,None,None,None,,None,
185,,House,Duplex,450000,No,3,None,0,0,None,,None,None,None,2,None,As new
186,,,,None,,,None,0,,None,,None,None,None,,None,
187,,House,Duplex,795000,No,3,None,0,,None,,None,None,None,,None,As new
188,,House,Duplex,795000,No,3,None,0,0,None,,None,None,None,4,None,Good
189,Omgeving Kraainem,House,Duplex,374000,No,2,None,0,,None,,None,None,None,2,None,As new
190,Oost- Vlaanderen,House,Duplex,235000,No,2,None,0,0,None,,None,None,None,2,None,As new
191,,House,Duplex,345000,No,3,None,0,0,None,1,None,None,None,2,None,As new
192,,House,Duplex,409000,No,4,None,1,0,None,1,None,None,None,,None,Good
193,,House,Duplex,410000,No,3,None,0,0,None,,None,None,None,,None,As new
194,,House,Duplex,699000,No,4,None,1,,None,,None,None,None,2,None,Good
195,,House,Duplex,1249000,No,3,None,0,0,None,,None,None,None,3,None,As new
196,,House,Duplex,241000,No,2,None,0,0,None,,None,None,None,,None,As new
197,,House,Duplex,340000,No,2,None,0,0,None,,None,None,None,,None,As new
198,,House,Duplex,349000,No,3,None,1,0,None,,None,None,None,2,None,
199,,House,Duplex,350000,No,4,None,0,0,None,,None,None,None,2,None,As new
200,,House,Duplex,559000,No,2,None,1,0,None,1,None,None,None,,None,Good
201,,House,Duplex,348000,No,3,None,1,0,None,,None,None,None,2,None,As new
202,,House,Duplex,259000,No,3,None,1,0,None,,None,None,None,2,None,Good
203,,House,Duplex,310000,No,3,None,1,0,None,,None,None,None,4,None,As new
204,,House,Duplex,339000,No,3,None,1,0,None,,None,None,None,3,None,Good
205,,,,None,,,None,0,,None,,None,None,None,,None,
206,,House,Duplex,450000,No,3,None,0,1,None,,None,None,None,2,None,Good
207,,House,Duplex,545000,No,3,None,0,0,None,,None,None,None,2,None,As new
208,,House,Duplex,580000,No,3,None,0,0,None,,None,None,None,2,None,Good
209,,House,Duplex,675000,No,3,None,0,0,None,,None,None,None,,None,As new
210,,House,Duplex,850000,No,3,None,0,,None,,None,None,None,2,None,As new
211,,House,Duplex,950000,No,2,None,0,0,None,,None,None,None,2,None,As new
212,,House,Duplex,1300000,No,3,None,0,0,None,,None,None,None,,None,As new
213,,House,Duplex,1350000,No,3,None,0,,None,,None,None,None,4,None,Good
214,,House,Duplex,1495000,No,3,None,1,,None,1,None,None,None,2,None,Good
215,,House,Duplex,3295000,No,5,None,0,0,None,1,None,None,None,4,None,As new
216,,House,Duplex,795000,No,2,None,0,,None,1,None,None,None,3,None,As new
217,,House,Duplex,795000,No,3,None,0,,None,1,None,None,None,2,None,As new
218,,House,Duplex,204000,No,3,None,0,0,None,,None,None,None,2,None,
219,,House,Duplex,278500,No,2,None,0,0,None,,None,None,None,,None,As new
220,Louise/ Stéphanie,House,Duplex,315000,No,1,None,0,0,None,,None,None,None,2,None,Good
221,,House,Duplex,600000,No,2,None,0,0,None,,None,None,None,2,None,Just renovated
222,,House,Duplex,1650000,No,3,None,0,0,None,,None,None,None,2,None,As new
223,,House,Duplex,375000,No,3,None,0,0,None,,None,None,None,,None,As new
224,,House,Duplex,560000,No,2,None,0,0,None,,None,None,None,2,None,As new
225,,House,Duplex,390000,No,2,None,0,0,None,,None,None,None,2,None,Good
226,,House,Duplex,190000,No,1,None,0,0,None,,None,None,None,,None,To renovate
227,,House,Duplex,349999,No,2,None,0,0,None,,None,None,None,3,None,As new
228,,House,Duplex,369500,No,2,None,0,0,None,,None,None,None,,None,As new
229,,House,Duplex,380000,No,3,None,1,0,None,,None,None,None,2,None,Good
230,,House,Duplex,675000,No,2,None,0,1,None,,None,None,None,2,None,As new
231,,House,Duplex,695000,No,2,None,0,,None,,None,None,None,4,None,As new
232,,House,Duplex,765000,No,3,None,0,0,None,,None,None,None,2,None,Good
233,Bruxelles est/sud-est,House,Duplex,770000,No,6,None,0,,None,,None,None,None,2,None,As new
234,,House,Duplex,775000,No,2,None,0,,None,,None,None,None,2,None,As new
235,,House,Duplex,835000,No,2,None,1,0,None,,None,None,None,2,None,As new
236,,House,Duplex,835000,No,2,None,1,0,None,,None,None,None,2,None,As new
237,,House,Duplex,850000,No,2,None,1,0,None,,None,None,None,2,None,As new
238,,House,Duplex,1490000,No,4,None,1,,None,1,None,None,None,3,None,To be done up
239,,House,Duplex,302250,No,4,None,0,0,None,,None,None,None,,None,As new
240,,House,Duplex,480000,No,4,None,0,0,None,1,None,None,None,,None,As new
241,,House,Duplex,195000,No,1,None,0,,None,1,None,None,None,2,None,Good
242,,House,Duplex,235000,No,3,None,1,0,None,,None,None,None,,None,Good
243,Bruxelles (19 communes),House,Duplex,259500,No,1,None,1,1,None,,None,None,None,2,None,Good
244,,House,Duplex,599000,No,2,None,0,0,None,,None,None,None,3,None,As new
245,,House,Duplex,599000,No,1,None,0,0,None,,None,None,None,3,None,As new
246,,House,Duplex,835000,No,2,None,1,0,None,,None,None,None,,None,As new
247,,House,Duplex,1200000,No,3,None,1,0,None,,None,None,None,3,None,Good
248,,House,Duplex,265000,No,2,None,1,0,None,,None,None,None,4,None,
249,,House,Duplex,265000,No,2,None,1,0,None,,None,None,None,4,None,
250,,House,Duplex,265000,No,2,None,1,0,None,,None,None,None,4,None,
251,,House,Duplex,265000,No,2,None,1,0,None,,None,None,None,4,None,
252,,House,Duplex,265000,No,2,None,1,0,None,,None,None,None,4,None,
253,,House,Duplex,280000,No,2,None,1,0,None,,None,None,None,2,None,Good
254,,House,Duplex,115000,No,2,None,0,1,None,1,None,None,None,2,None,To be done up
255,,House,Duplex,139000,No,2,None,0,0,None,,None,None,None,3,None,Good
256,,House,Duplex,145000,No,2,None,0,0,None,,None,None,None,2,None,
257,,House,Duplex,330000,No,3,None,0,1,None,1,None,None,None,,None,As new
258,,House,Duplex,339000,No,2,None,0,0,None,,None,None,None,3,None,As new
259,,House,Duplex,460000,No,2,None,1,1,None,,None,None,None,2,None,As new
260,Europees Kwartier / Koningswijk,House,Duplex,575000,No,2,None,0,0,None,,None,None,None,3,None,
261,,House,Duplex,850000,No,4,None,0,0,None,,None,None,None,2,None,Just renovated
262,Op 500 m van zee,House,Duplex,315000,No,3,None,0,,None,,None,None,None,3,None,As new
263,,House,Duplex,885000,No,3,None,0,,None,,None,None,None,,None,As new
264,,House,Duplex,539000,No,3,None,0,1,None,,None,None,None,2,None,As new
265,,House,Duplex,155500,No,1,None,0,,None,,None,None,None,,None,Good
266,,House,Duplex,157500,No,1,None,0,,None,,None,None,None,,None,Good
267,Charleroi,House,Duplex,159000,No,4,None,1,0,None,,None,None,None,2,None,Good
268,La Louvière,House,Duplex,197500,No,3,None,1,0,None,,None,None,None,2,None,As new
269,Markt,House,Duplex,199000,No,2,None,1,0,None,,None,None,None,,None,Good
270,,House,Duplex,285000,No,4,None,0,0,None,,None,None,None,2,None,To renovate
271,Oost- Vlaanderen,House,Duplex,299999,No,2,None,0,,None,,None,None,None,2,None,As new
272,Beveren,House,Duplex,325000,No,2,None,0,0,None,,None,None,None,,None,As new
273,,House,Duplex,338000,No,3,None,0,0,None,,None,None,None,,None,As new
274,,House,Duplex,339000,No,3,None,1,0,None,,None,None,None,,None,As new
275,,House,Duplex,349000,No,2,None,0,0,None,,None,None,None,2,None,Good
276,Regio Tienen,House,Duplex,349000,No,2,None,0,0,None,,None,None,None,2,None,As new
277,Liège,House,Duplex,389500,No,3,None,0,0,None,,None,None,None,3,None,As new
278,,House,Duplex,395000,No,2,None,1,0,None,,None,None,None,2,None,Good
279,,House,Duplex,399000,No,2,None,1,,None,,None,None,None,2,None,Good
280,,House,Duplex,545000,No,3,None,0,0,None,,None,None,None,2,None,As new
281,,House,Duplex,595000,No,2,None,0,,None,,None,None,None,,None,As new
282,,House,Duplex,945000,No,2,None,0,1,None,1,None,None,None,2,None,As new
283,,House,Duplex,970000,No,3,None,1,,None,,None,None,None,,None,To renovate
284,,House,Duplex,999000,No,4,None,0,0,None,1,None,None,None,,None,As new
285,,House,Duplex,1200000,No,3,None,0,0,None,1,None,None,None,3,None,As new
286,,House,Duplex,2700000,No,5,None,0,,None,,None,None,None,2,None,As new
287,,House,Duplex,625000,No,3,None,1,0,None,,None,None,None,2,None,As new
288,,House,Duplex,269000,No,2,None,1,,None,1,None,None,None,,None,As new
289,,House,Duplex,390000,No,3,None,0,0,None,,None,None,None,2,None,Good
290,,House,Duplex,695000,No,3,None,1,,None,,None,None,None,3,None,Good
291,,House,Duplex,Starting price : 250000,No,3,None,0,,None,,None,None,None,,None,
292,,House,Duplex,290000,No,2,None,0,0,None,,None,None,None,2,None,As new
293,,House,Duplex,185000,No,2,None,1,0,None,,None,None,None,2,None,Good
294,,House,Duplex,217000,No,2,None,0,0,None,,None,None,None,3,None,Good
295,,House,Duplex,245000,No,3,None,1,0,None,,None,None,None,2,None,Good
296,,House,Duplex,279000,No,3,None,0,0,None,,None,None,None,2,None,Just renovated
297,,House,Duplex,297382,No,3,None,1,0,None,,None,None,None,,None,As new
298,Quartier ChÃtelain,House,Duplex,597500,No,2,None,0,0,None,1,None,None,None,2,None,Good
299,,House,Duplex,1200000,No,3,None,1,0,None,,None,None,None,2,None,Good
300,Tournai,House,Duplex,248000,No,3,None,1,0,None,,None,None,None,,None,As new
301,,House,Duplex,310673,No,2,None,1,0,None,,None,None,None,,None,
302,,House,Duplex,255000,No,2,None,0,0,None,,None,None,None,,None,As new
303,,House,Duplex,224500,No,3,None,1,0,None,,None,None,None,3,None,Good
304,,House,Duplex,885000,No,3,None,1,0,None,,None,None,None,,None,
305,,House,Duplex,329000,No,2,None,0,0,None,,None,None,None,2,None,As new
306,,House,Duplex,345000,No,2,None,0,0,None,,None,None,None,2,None,As new
307,,House,Duplex,70000,No,3,None,0,0,None,,None,None,None,2,None,To renovate
308,,,,None,,,None,0,,None,,None,None,None,,None,
309,,House,Duplex,219000,No,3,None,0,0,None,,None,None,None,2,None,Just renovated
310,Hannut,House,Duplex,224000,No,2,None,1,,None,,None,None,None,3,None,Good
311,Kievitwijk,House,Duplex,239000,No,1,None,1,1,None,,None,None,None,2,None,Just renovated
312,Regio Leuven,House,Duplex,275000,No,3,None,0,,None,,None,None,None,2,None,Good
313,,House,Duplex,295000,No,3,None,0,0,None,,None,None,None,2,None,Good
314,,House,Duplex,295000,No,1,None,0,0,None,1,None,None,None,2,None,
315,,House,Duplex,300000,No,3,None,1,0,None,,None,None,None,2,None,Just renovated
316,,House,Duplex,325000,No,3,None,0,0,None,1,None,None,None,,None,
317,,House,Duplex,325000,No,5,None,0,0,None,,None,None,None,,None,
318,,House,Duplex,355000,No,2,None,0,0,None,1,None,None,None,2,None,
319,,House,Duplex,365000,No,2,None,0,0,None,1,None,None,None,2,None,
320,,House,Duplex,385000,No,2,None,0,0,None,1,None,None,None,2,None,
321,,House,Duplex,440000,No,4,None,0,0,None,,None,None,None,2,None,As new
322,,House,Duplex,695000,No,3,None,0,0,None,,None,None,None,3,None,As new
323,,House,Duplex,750000,No,2,None,0,0,None,1,None,None,None,2,None,Good
324,,House,Duplex,775000,No,2,None,0,0,None,1,None,None,None,2,None,As new
325,,House,Duplex,2595000,No,4,None,0,1,None,1,None,None,None,,None,As new
326,,House,Duplex,295000,No,3,None,1,0,None,,None,None,None,2,None,
327,,House,Duplex,255000,No,3,None,0,,None,,None,None,None,4,None,As new
328,,House,Duplex,294000,No,2,None,1,,None,1,None,None,None,,None,
329,,House,Duplex,299000,No,2,None,1,0,None,1,None,None,None,,None,
330,,House,Duplex,479000,No,4,None,0,0,None,,None,None,None,2,None,As new
331,,House,Duplex,195000,No,3,None,1,0,None,,None,None,None,2,None,Good
332,WEST-VLAANDEREN,House,Duplex,220000,No,2,None,0,,None,,None,None,None,,None,As new
