,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
159,,House,Town-house,425000,No,3,200,0,0,None,1,None,None,None,2,None,To be done up
160,Regio Noordrand Antwerpen,House,Town-house,469000,No,5,272,0,0,None,,None,None,None,2,None,As new
161,,House,Town-house,480000,No,7,280,0,0,None,,None,None,None,2,None,Good
162,,House,Town-house,369000,No,3,150,0,,None,,None,None,None,,None,Just renovated
163,,House,Town-house,460000,No,4,246,0,0,None,,None,None,None,2,None,As new
164,,House,Town-house,245000,,3,118,1,0,None,,None,None,None,2,None,Good
165,,House,Town-house,440000,No,3,222,0,0,None,,None,None,None,2,None,Good
166,,House,Town-house,630000,No,3,180,0,0,None,1,None,None,None,,None,Just renovated
167,,House,Town-house,360000,No,3,149,0,,None,,None,None,None,2,None,Good
168,,House,Town-house,350000,No,3,123,0,0,None,,None,None,None,2,None,Good
169,,House,Town-house,239000,No,2,160,1,0,None,,None,None,None,1,None,Good
170,,House,Town-house,365000,No,4,292,1,0,None,,None,None,None,2,None,Good
171,,House,Town-house,375000,No,3,190,0,0,None,,None,None,None,2,None,Good
172,,House,Town-house,214000,No,3,155,1,0,None,1,None,None,None,2,None,Good
173,Zellik,House,Town-house,395000,No,4,180,0,,None,,None,None,None,3,None,
174,,House,Town-house,485000,No,3,270,0,,None,,None,None,None,2,None,Good
175,,House,Town-house,495000,No,3,180,1,0,None,,None,None,None,2,None,Good
176,,House,Town-house,475000,No,3,200,0,0,None,,None,None,None,2,None,Good
177,,House,Town-house,270000,No,3,165,0,0,None,,None,None,None,2,None,As new
178,,House,Town-house,339000,No,3,160,0,0,None,,None,None,None,3,None,To restore
179,,House,Town-house,399000,No,2,,1,0,None,,None,None,None,3,None,To be done up
180,,House,Town-house,495000,No,3,180,0,0,None,,None,None,None,2,None,
181,Zuidrand Antwerpen,House,Town-house,469000,No,4,275,0,0,None,,None,None,None,2,None,Good
182,,House,Town-house,715000,No,6,397,0,0,None,,None,None,None,6,None,To renovate
183,,House,Town-house,349000,No,3,,1,1,None,,None,None,None,2,None,As new
184,,House,Town-house,180000,No,3,150,0,0,None,,None,None,None,3,None,Good
185,,House,Town-house,258000,No,3,110,1,0,None,,None,None,None,2,None,Good
186,,House,Town-house,280000,No,2,150,1,0,None,,None,None,None,3,None,Just renovated
187,,House,Town-house,339000,No,3,140,0,0,None,,None,None,None,2,None,Good
188,,House,Town-house,169000,No,2,126,0,0,None,,None,None,None,2,None,Good
189,,House,Town-house,250000,No,3,135,0,0,None,,None,None,None,2,None,To be done up
190,,House,Town-house,359000,No,3,,1,0,None,,None,None,None,3,None,
191,,House,Town-house,369000,No,3,137,0,0,None,,None,None,None,2,None,As new
192,,House,Town-house,218000,No,2,,0,0,None,,None,None,None,2,None,Good
193,,House,Town-house,269000,No,2,152,1,0,None,,None,None,None,3,None,Good
194,,House,Town-house,319000,No,4,176,1,0,None,,None,None,None,2,None,Good
195,,House,Town-house,369000,No,3,210,1,0,None,,None,None,None,2,None,
196,,House,Town-house,375000,No,4,355,0,0,None,,None,None,None,2,None,
197,,House,Town-house,395000,No,3,300,1,0,None,,None,None,None,3,None,
198,,House,Town-house,210000,No,2,221,1,0,None,,None,None,None,3,None,
199,,House,Town-house,349500,No,3,233,1,0,None,1,None,None,None,,None,Good
